YEAR,CATEGORY,TITLE,NOMINEES,STATUS OR POSITION,SCENE NAME
1999,Top Ten,`,,1,
1999,Top Ten,`,,2,
1999,Top Ten,`,,3,
1999,Top Ten,`,,4,
1999,Top Ten,`,,5,
1999,Top Ten,`,,6,
1999,Top Ten,`,,7,
1999,Top Ten,`,,8,
1999,Top Ten,`,,9,
1999,Top Ten,`,,10,
1999,Top Ten,`,,10,
1999,Top Ten,`,,12,
1999,Top Ten,`,,13,
1999,Top Ten,`,,14,
1999,Top Ten,`,,15,
1999,Best Picture,Children of Heaven,,0,
1999,Best Picture,Fight Club,,0,
1999,Best Picture,Magnolia,,1,
1999,Best Picture,Princess Mononoke,,0,
1999,Best Picture,The Straight Story,,0,
1999,Best Actor,Jim Carrey,Man on the Moon,0,
1999,Best Actor,Russel Crowe,The Insider,0,
1999,Best Actor,Tom Cruise,Eyes Wide Shut,0,
1999,Best Actor,Brendon Gleeson,The General,0,
1999,Best Actor,Sean Penn,Sweet and Lowdown,0,
1999,Best Actor,Kevin Spacey,American Beauty,1,
1999,Best Actress,Annette Bening,American Beauty,0,
1999,Best Actress,Helena Bonham Carter,Fight Club,0,
1999,Best Actress,Nicole Kidman,Eyes Wide Shut,0,
1999,Best Actress,Samantha Morton,Sweet and Lowdown,0,
1999,Best Actress,Hilary Swank,Boys Don't Cry,1,
1999,Best Supporting Actor,Tom Cruise,Magnolia,1,
1999,Best Supporting Actor,Werner Herzog,Julien Donkey-Boy,0,
1999,Best Supporting Actor,Doug Hutchison,The Green Mile,0,
1999,Best Supporting Actor,John Malkovich,Being John Malkovich,0,
1999,Best Supporting Actor,Haley Joel Osment,The Sixth Sense,0,
1999,Best Supporting Actor,John C. Reilley,Magnolia,0,
1999,Best Supporting Actress,Cameron Diaz,Being John Malkovich,0,
1999,Best Supporting Actress,Catherine Keener,Being John Malkovich,0,
1999,Best Supporting Actress,Julianne Moore,Cookie's Fortune|Magnolia,0,
1999,Best Supporting Actress,Sissy Spacek,The Straight Story,1,
1999,Best Supporting Actress,Melora Walters,Magnolia,0,
1999,Best Director,Paul Thomas Anderson,Magnolia,1,
1999,Best Director,Spike Jonze,Being John Malkovich,0,
1999,Best Director,Stanley Kubrick,Eyes Wide Shut,0,
1999,Best Director,David Lynch,The Straight Story,0,
1999,Best Director,Majid Majidi,Children of Heaven,0,
1999,Best Director,Hayao Miyazaki,Princess Mononoke,0,
1999,Best Cinematography,Eyes Wide Shut,Larry Smith,1,
1999,Best Cinematography,Fight Club,Jeff Cronenweth,0,
1999,Best Cinematography,The Green Mile,David Tattersall,0,
1999,Best Cinematography,Princess Mononoke,Atsushi Okui,0,
1999,Best Cinematography,Ratcatcher,Alwin H. Kuchler,0,
1999,Best Cinematography,The Red Violin,Alain Dostie,0,
1999,Best Original Screenplay,Being John Malkovich,Charlie Kaufman,0,
1999,Best Original Screenplay,Magnolia,Paul Thomas Anderson,1,
1999,Best Original Screenplay,Office Space,Mike Judge,0,
1999,Best Original Screenplay,Run Lola Run,Tom Tykwer,0,
1999,Best Original Screenplay,The Straight Story,John Roach|Mary Sweeney,0,
1999,Best Original Screenplay,Sweet and Lowdown,Woody Allen,0,
1999,Best Adapted Screenplay,Bringing out the Dead,Paul Schrader,0,
1999,Best Adapted Screenplay,Eyes Wide Shut,Stanley Kubrick|Frederic Raphael,0,
1999,Best Adapted Screenplay,Fight Club,Jim Uhls,0,
1999,Best Adapted Screenplay,The General,John Boorman,0,
1999,Best Adapted Screenplay,The Green Mile,Frank Darabont,0,
1999,Best Adapted Screenplay,The Insider,Eric Roth|Michael Mann,0,
1999,Best Foreign Language Film,Children of Heaven,,1,
1999,Best Foreign Language Film,The Dreamlife of Angels,,0,
1999,Best Foreign Language Film,Princess Mononoke,,0,
1999,Best Foreign Language Film,The Red Violin,,0,
1999,Best Foreign Language Film,Run Lola Run,,0,
1999,Worst Picture,Cookie's Fortune,,0,
1999,Worst Picture,Election,,0,
1999,Worst Picture,Flawless,,0,
1999,Worst Picture,Go,,1,
1999,Worst Picture,The Talented Mr. Ripley,,0,
