2004,Top Ten,The Passion of the Christ,,1,
2004,Top Ten,The Aviator,,2,
2004,Top Ten,Napoleon Dynamite,,3,
2004,Top Ten,Hotel Rwanda,,4,
2004,Top Ten,Touching the Void,,5,
2004,Top Ten,Eternal Sunshine of the Spotless Mind,,6,
2004,Top Ten,The Village,,7,
2004,Top Ten,I Heart Huckabees,,8,
2004,Top Ten,Vera Drake,,9,
2004,Top Ten,The Assassination of Richard Nixon,,10,
2004,Top Ten,The Incredibles,,11,
2004,Top Ten,Harry Potter and the Prisoner of Azkaban,,12,
2004,Top Ten,Kill Bill Vol. 2,,13,
2004,Top Ten,Spartan,,14,
2004,Top Ten,I'm Not Scared,,15,
2004,Best Picture,The Aviator,,0,
2004,Best Picture,Hotel Rwanda,,0,
2004,Best Picture,The Passion of the Christ,,1,
2004,Best Picture,Napoleon Dynamite,,0,
2004,Best Picture,Touching the Void,,0,
2004,Best Actor,The Machinist,Christian Bale,0,
2004,Best Actor,Eternal Sunshine of the Spotless Mind,Jim Carrey,0,
2004,Best Actor,The Passion of the Christ,Jim Caviezel,0,
2004,Best Actor,Hotel Rwanda,Don Cheadle,0,
2004,Best Actor,The Aviator,Leonardo DiCaprio,1,
2004,Best Actor,Ray|Collateral,Jamie Foxx,0,
2004,Best Actor,The Ladykillers|The Terminal,Tom Hanks,0,
2004,Best Actor,The Assassination of Richard Nixon,Sean Penn,0,
2004,Best Actress,Eternal Sunshine of the Spotless Mind,Kate Winslet,0,
2004,Best Actress,Hotel Rwanda,Sophie Okonedo,0,
2004,Best Actress,Kill Bill Vol. 2,Uma Thurman,0,
2004,Best Actress,Maria Full of Grace,Catalina Sandino Moreno,0,
2004,Best Actress,Million Dollar Baby,Hillary Swank,0,
2004,Best Actress,,0,
2004,Best Supporting Actor,The Aviator,Alec Baldwin,0,
2004,Best Supporting Actor,The Aviator,Alan Alda,0,
2004,Best Supporting Actor,Eternal Sunshine of the Spotless Mind|Collateral,Mark Ruffalo,0,
2004,Best Supporting Actor,Garden State,Peter Sarsgaard,0,
2004,Best Supporting Actor,I Heart Huckabees,Mark Wahlberg,0,
2004,Best Supporting Actor,I Heart Huckabees,Jude Law,0,
2004,Best Supporting Actor,Million Dollar Baby,Morgan Freeman,0,
2004,Best Supporting Actress,The Aviator,Cate Blanchett,0,
2004,Best Supporting Actress,I Heart Huckabees,Naomi Watts,0,
2004,Best Supporting Actress,The Passion of the Christ,Maia Morgenstern,0,
2004,Best Supporting Actress,,0,
2004,Best Director,The Aviator,Martin Scorsese,0,
2004,Best Director,The Passion of the Christ,Mel Gibson,1,
2004,Best Director,Eternal Sunshine of the Spotless Mind,Michel Gondry,0,
2004,Best Director,The Village,M. Night Shyamalan,0,
2004,Best Director,I Heart Huckabees,David O. Russell,0,
2004,Best Director,Primer,Shane Carruth,0,
2004,Best Cinematography,The Aviator,Robert Richardson,0,
2004,Best Cinematography,Eternal Sunshine of the Spotless Mind,Ellen Kuras,0,
2004,Best Cinematography,Garden State,Lawrence Sher,0,
2004,Best Cinematography,Harry Potter and the Prisoner of Azkaban,Michael Seresin,0,
2004,Best Cinematography,House of Flying Daggers,Xiaoding Zhao,0,
2004,Best Cinematography,Kill Bill Vol. 2,Robert Richardson,0,
2004,Best Cinematography,The Life Aquatic with Steve Zissou,Robert Yeoman,0,
2004,Best Cinematography,The Passion of the Christ,Caleb Deschanel,0,
2004,Best Cinematography,The Polar Express,Don Burgess|Robert Presley,0,
2004,Best Original Screenplay,The Assassination of Richard Nixon,Niels Mueller|Kevin Kennedy,0,
2004,Best Original Screenplay,The Aviator,John Logan,0,
2004,Best Original Screenplay,Collateral,Stuart Beattie,0,
2004,Best Original Screenplay,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,1,
2004,Best Original Screenplay,"Goodbye, Lenin!",Bernd Lichtenberg,0,
2004,Best Original Screenplay,Hotel Rwanda,Keir Pearson|Terry George,0,
2004,Best Original Screenplay,I Heart Huckabees,David O. Russell|Jeff Baena,0,
2004,Best Original Screenplay,Miracle,Mike Rich,0,
2004,Best Original Screenplay,Primer,Shane Carruth,0,
2004,Best Adapted Screenplay,The Chorus,Christophe Barratier|Philippe Lopes-Curval,0,
2004,Best Adapted Screenplay,Finding Neverland,David Magee,0,
2004,Best Adapted Screenplay,Harry Potter and the Prisoner of Azkaban,Steve Kloves,0,
2004,Best Adapted Screenplay,I'm Not Scared,Niccolo Ammaniti|Francesca Marciano,0,
2004,Best Adapted Screenplay,The Manchurian Candidate,Daniel Pyne|Dean Georgaris,0,
2004,Best Documentary,,0,
2004,Best Documentary,,0,
2004,Best Documentary,,0,
2004,Best Documentary,,0,
2004,Worst Picture,,0,
2004,Worst Picture,,0,
2004,Worst Picture,,0,
2004,Worst Picture,,0,
2004,Best Scene,I Heart Huckabees,0,Propaganda for Mayonnaise
2004,Best Scene,Anchorman: The Legend of Ron Burgendy,0,Poop Mouth
2004,Best Scene,Cigarettes and Coffee,0,Tom Waits and Iggy Pop
2004,Best Scene,,0,
2004,Best Scene,,0,
2004,Best Scene,,0,
